record_code,batch_code,sample_date,pig_age_days,avg_weight,total_feed_quantity,feeding_count,avg_feeding_interval_hours,pen_code,pen_capacity,pen_status,growth_stage,feed_type_mode,device_code,window_days
SYNREC044,SYNBATCH009,2026-03-16T00:00:00Z,142,101.4,3.57,3,7.4,SYNPEN009,15,occupied,FINISHER,automatic,SYNDEV009,1
SYNREC045,SYNBATCH009,2026-03-17T07:00:00Z,144,103.1,4.18,3,8.0,SYNPEN009,15,occupied,FINISHER,automatic,SYNDEV009,7
SYNREC046,SYNBATCH010,2026-03-18T08:00:00Z,101,56.0,3.3,4,6.4,SYNPEN010,18,available,GROWER,manual,SYNDEV010,1
SYNREC047,SYNBATCH010,2026-03-19T05:00:00Z,103,57.1,2.53,3,8.7,SYNPEN010,18,available,GROWER,manual,SYNDEV010,1
SYNREC048,SYNBATCH010,2026-03-20T02:00:00Z,104,57.8,2.61,3,7.5,SYNPEN010,18,available,GROWER,manual,SYNDEV010,7
SYNREC049,SYNBATCH010,2026-03-20T23:00:00Z,129,86.5,3.92,3,7.7,SYNPEN010,18,available,FINISHER,manual,SYNDEV010,1
SYNREC050,SYNBATCH010,2026-03-22T06:00:00Z,131,85.4,4.07,2,12.0,SYNPEN010,18,available,FINISHER,manual,SYNDEV010,1
SYNREC051,SYNBATCH011,2026-03-23T07:00:00Z,89,46.0,2.56,3,7.9,SYNPEN011,20,available,GROWER,manual,SYNDEV011,1
SYNREC052,SYNBATCH011,2026-03-24T04:00:00Z,103,59.7,2.62,3,8.0,SYNPEN011,20,available,GROWER,manual,SYNDEV011,1
SYNREC053,SYNBATCH011,2026-03-25T01:00:00Z,105,61.0,2.62,3,8.0,SYNPEN011,20,available,GROWER,manual,SYNDEV011,1
SYNREC054,SYNBATCH011,2026-03-26T08:00:00Z,107,61.6,3.37,3,8.3,SYNPEN011,20,available,GROWER,manual,SYNDEV011,7
SYNREC055,SYNBATCH011,2026-03-27T05:00:00Z,109,64.4,3.38,4,6.5,SYNPEN011,20,available,GROWER,manual,SYNDEV011,1
SYNREC056,SYNBATCH012,2026-03-28T06:00:00Z,64,23.7,2.24,3,8.5,SYNPEN012,22,available,STARTER,automatic,SYNDEV012,7
SYNREC057,SYNBATCH012,2026-03-29T03:00:00Z,68,25.4,2.59,4,6.5,SYNPEN012,22,available,STARTER,automatic,SYNDEV012,1
SYNREC058,SYNBATCH012,2026-03-30T00:00:00Z,71,28.7,2.44,3,8.1,SYNPEN012,22,available,GROWER,automatic,SYNDEV012,1
SYNREC059,SYNBATCH012,2026-03-31T07:00:00Z,81,40.1,2.83,3,8.7,SYNPEN012,22,available,GROWER,automatic,SYNDEV012,1
SYNREC060,SYNBATCH012,2026-04-01T04:00:00Z,93,50.6,3.25,4,5.8,SYNPEN012,22,available,GROWER,automatic,SYNDEV012,1
SYNREC061,SYNBATCH013,2026-04-02T05:00:00Z,124,81.6,3.24,3,8.7,SYNPEN013,21,occupied,FINISHER,manual,SYNDEV013,1
SYNREC062,SYNBATCH013,2026-04-03T02:00:00Z,125,82.7,3.73,3,8.6,SYNPEN013,21,occupied,FINISHER,manual,SYNDEV013,1
SYNREC063,SYNBATCH013,2026-04-03T23:00:00Z,127,86.2,3.33,3,8.2,SYNPEN013,21,occupied,FINISHER,manual,SYNDEV013,1
SYNREC064,SYNBATCH013,2026-04-05T06:00:00Z,128,86.9,3.59,3,8.1,SYNPEN013,21,occupied,FINISHER,manual,SYNDEV013,1
SYNREC065,SYNBATCH013,2026-04-06T03:00:00Z,137,96.0,3.19,3,8.3,SYNPEN013,21,occupied,FINISHER,manual,SYNDEV013,1
SYNREC066,SYNBATCH014,2026-04-07T04:00:00Z,48,14.9,1.9,4,5.4,SYNPEN014,24,available,STARTER,automatic,SYNDEV014,1
SYNREC067,SYNBATCH014,2026-03-12T01:00:00Z,62,25.6,2.25,4,5.9,SYNPEN014,24,available,STARTER,automatic,SYNDEV014,1
SYNREC068,SYNBATCH014,2026-03-13T08:00:00Z,65,26.5,2.33,4,5.7,SYNPEN014,24,available,STARTER,automatic,SYNDEV014,1
SYNREC069,SYNBATCH014,2026-03-14T05:00:00Z,67,26.7,2.4,3,8.5,SYNPEN014,24,available,STARTER,automatic,SYNDEV014,7
SYNREC070,SYNBATCH014,2026-03-15T02:00:00Z,71,32.1,2.96,3,7.6,SYNPEN014,24,available,GROWER,automatic,SYNDEV014,1
SYNREC071,SYNBATCH015,2026-03-16T03:00:00Z,99,54.7,3.01,3,8.1,SYNPEN015,12,occupied,GROWER,automatic,SYNDEV015,7
SYNREC072,SYNBATCH015,2026-03-17T00:00:00Z,105,59.6,3.14,3,7.8,SYNPEN015,12,occupied,GROWER,automatic,SYNDEV015,1
SYNREC073,SYNBATCH015,2026-03-18T07:00:00Z,106,61.6,2.68,4,6.0,SYNPEN015,12,occupied,GROWER,automatic,SYNDEV015,1
SYNREC074,SYNBATCH015,2026-03-19T04:00:00Z,108,63.3,2.84,3,7.7,SYNPEN015,12,occupied,GROWER,automatic,SYNDEV015,1
SYNREC075,SYNBATCH015,2026-03-20T01:00:00Z,110,62.9,4.08,3,7.6,SYNPEN015,12,occupied,FINISHER,automatic,SYNDEV015,7
SYNREC076,SYNBATCH016,2026-03-21T02:00:00Z,120,75.9,3.46,3,7.5,SYNPEN016,28,available,FINISHER,manual,SYNDEV016,7
SYNREC077,SYNBATCH016,2026-03-21T23:00:00Z,122,78.5,4.1,3,8.4,SYNPEN016,28,available,FINISHER,manual,SYNDEV016,7
SYNREC078,SYNBATCH016,2026-03-23T06:00:00Z,124,79.8,3.11,3,8.5,SYNPEN016,28,available,FINISHER,manual,SYNDEV016,7
SYNREC079,SYNBATCH016,2026-03-24T03:00:00Z,131,88.0,3.92,3,8.2,SYNPEN016,28,available,FINISHER,manual,SYNDEV016,1
SYNREC080,SYNBATCH016,2026-03-25T00:00:00Z,140,97.4,3.34,3,7.4,SYNPEN016,28,available,FINISHER,manual,SYNDEV016,1
SYNREC081,SYNBATCH017,2026-03-26T01:00:00Z,120,78.5,4.11,3,8.1,SYNPEN017,11,occupied,FINISHER,manual,SYNDEV017,7
SYNREC082,SYNBATCH017,2026-03-27T08:00:00Z,127,82.7,3.72,3,8.3,SYNPEN017,11,occupied,FINISHER,manual,SYNDEV017,1
SYNREC083,SYNBATCH017,2026-03-28T05:00:00Z,136,93.2,3.3,3,7.9,SYNPEN017,11,occupied,FINISHER,manual,SYNDEV017,7
SYNREC084,SYNBATCH017,2026-03-29T02:00:00Z,138,97.6,3.47,3,7.8,SYNPEN017,11,occupied,FINISHER,manual,SYNDEV017,7
SYNREC085,SYNBATCH017,2026-03-29T23:00:00Z,140,98.3,4.02,3,8.4,SYNPEN017,11,occupied,FINISHER,manual,SYNDEV017,1
SYNREC086,SYNBATCH018,2026-03-31T00:00:00Z,76,32.8,2.44,4,5.7,SYNPEN018,19,available,GROWER,manual,SYNDEV018,1
SYNREC087,SYNBATCH018,2026-04-01T07:00:00Z,81,37.9,2.55,4,6.2,SYNPEN018,19,available,GROWER,manual,SYNDEV018,1
SYNREC088,SYNBATCH018,2026-04-02T04:00:00Z,94,52.6,3.1,3,7.6,SYNPEN018,19,available,GROWER,manual,SYNDEV018,1
SYNREC089,SYNBATCH018,2026-04-03T01:00:00Z,98,54.0,3.36,3,7.4,SYNPEN018,19,available,GROWER,manual,SYNDEV018,1
SYNREC090,SYNBATCH018,2026-04-04T08:00:00Z,104,62.7,3.08,4,5.9,SYNPEN018,19,available,GROWER,manual,SYNDEV018,1
SYNREC091,SYNBATCH019,2026-04-04T23:00:00Z,46,14.0,2.33,3,8.4,SYNPEN019,13,occupied,STARTER,automatic,SYNDEV019,1
SYNREC092,SYNBATCH019,2026-04-06T06:00:00Z,57,21.0,2.4,4,5.9,SYNPEN019,13,occupied,STARTER,automatic,SYNDEV019,1
SYNREC093,SYNBATCH019,2026-04-07T03:00:00Z,59,22.2,2.16,3,8.6,SYNPEN019,13,occupied,STARTER,automatic,SYNDEV019,7
SYNREC094,SYNBATCH019,2026-03-12T00:00:00Z,61,23.5,2.09,3,8.6,SYNPEN019,13,occupied,STARTER,automatic,SYNDEV019,7
SYNREC095,SYNBATCH019,2026-03-13T07:00:00Z,65,25.3,1.84,4,6.0,SYNPEN019,13,occupied,STARTER,automatic,SYNDEV019,1
SYNREC096,SYNBATCH020,2026-03-14T08:00:00Z,123,79.3,3.58,3,7.8,SYNPEN020,24,occupied,FINISHER,manual,SYNDEV020,1
SYNREC097,SYNBATCH020,2026-03-15T05:00:00Z,125,80.4,3.41,2,12.0,SYNPEN020,24,occupied,FINISHER,manual,SYNDEV020,7
SYNREC098,SYNBATCH020,2026-03-16T02:00:00Z,132,89.4,3.13,3,7.7,SYNPEN020,24,occupied,FINISHER,manual,SYNDEV020,1
SYNREC099,SYNBATCH020,2026-03-16T23:00:00Z,133,88.7,3.98,3,8.6,SYNPEN020,24,occupied,FINISHER,manual,SYNDEV020,1
SYNREC100,SYNBATCH020,2026-03-18T06:00:00Z,137,95.2,3.11,3,7.5,SYNPEN020,24,occupied,FINISHER,manual,SYNDEV020,7
SYNREC101,SYNBATCH021,2026-03-19T07:00:00Z,99,54.6,3.11,4,5.4,SYNPEN021,21,occupied,GROWER,manual,SYNDEV021,1
SYNREC102,SYNBATCH021,2026-03-20T04:00:00Z,107,61.4,2.8,3,8.3,SYNPEN021,21,occupied,GROWER,manual,SYNDEV021,1
SYNREC103,SYNBATCH021,2026-03-21T01:00:00Z,109,63.7,2.95,3,8.8,SYNPEN021,21,occupied,GROWER,manual,SYNDEV021,1
SYNREC104,SYNBATCH021,2026-03-22T08:00:00Z,114,68.7,3.87,3,7.8,SYNPEN021,21,occupied,FINISHER,manual,SYNDEV021,1
SYNREC105,SYNBATCH021,2026-03-23T05:00:00Z,116,70.3,3.31,3,8.2,SYNPEN021,21,occupied,FINISHER,manual,SYNDEV021,1
SYNREC106,SYNBATCH022,2026-03-24T06:00:00Z,60,23.5,2.24,4,6.4,SYNPEN022,18,available,STARTER,manual,SYNDEV022,1
SYNREC107,SYNBATCH022,2026-03-25T03:00:00Z,62,22.3,2.02,3,8.4,SYNPEN022,18,available,STARTER,manual,SYNDEV022,1
SYNREC108,SYNBATCH022,2026-03-26T00:00:00Z,69,25.8,1.74,4,5.8,SYNPEN022,18,available,STARTER,manual,SYNDEV022,1
SYNREC109,SYNBATCH022,2026-03-27T07:00:00Z,72,29.9,3.27,4,6.4,SYNPEN022,18,available,GROWER,manual,SYNDEV022,1
SYNREC110,SYNBATCH022,2026-03-28T04:00:00Z,77,34.1,2.88,3,8.8,SYNPEN022,18,available,GROWER,manual,SYNDEV022,1
SYNREC111,SYNBATCH023,2026-03-29T05:00:00Z,93,51.3,2.98,3,7.6,SYNPEN023,27,available,GROWER,manual,SYNDEV023,1
SYNREC112,SYNBATCH023,2026-03-30T02:00:00Z,94,50.2,3.39,3,8.5,SYNPEN023,27,available,GROWER,manual,SYNDEV023,1
SYNREC113,SYNBATCH023,2026-03-30T23:00:00Z,103,61.6,2.78,4,5.8,SYNPEN023,27,available,GROWER,manual,SYNDEV023,7
SYNREC114,SYNBATCH023,2026-04-01T06:00:00Z,106,61.4,2.97,3,8.7,SYNPEN023,27,available,GROWER,manual,SYNDEV023,1
SYNREC115,SYNBATCH023,2026-04-02T03:00:00Z,117,73.5,3.79,2,10.9,SYNPEN023,27,available,FINISHER,manual,SYNDEV023,1
SYNREC116,SYNBATCH024,2026-04-03T04:00:00Z,52,18.3,2.32,4,5.4,SYNPEN024,24,occupied,STARTER,automatic,SYNDEV024,1
SYNREC117,SYNBATCH024,2026-04-04T01:00:00Z,54,21.0,1.95,4,5.5,SYNPEN024,24,occupied,STARTER,automatic,SYNDEV024,1
SYNREC118,SYNBATCH024,2026-04-05T08:00:00Z,57,22.0,2.41,4,6.2,SYNPEN024,24,occupied,STARTER,automatic,SYNDEV024,1
SYNREC119,SYNBATCH024,2026-04-06T05:00:00Z,65,25.5,1.8,4,5.6,SYNPEN024,24,occupied,STARTER,automatic,SYNDEV024,1
SYNREC120,SYNBATCH024,2026-04-07T02:00:00Z,69,27.8,1.76,3,7.8,SYNPEN024,24,occupied,STARTER,automatic,SYNDEV024,1
